17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
17;2;17;2;17;2;17;2;17;2;17;2;17;2;17;2
2;17;2;17;2;17;2;17;2;17;2;17;2;17;2;17
